Grupo,Hora,"ID do Sensor","Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
3,08:16:57,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:23:13,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:23:16,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:23:17,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:23:20,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:31:14,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:31:18,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:31:22,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:31:30,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:39:43,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:39:46,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:39:50,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:40:00,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:48:09,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:48:13,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:48:17,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:48:28,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:58:12,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:58:16,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:58:19,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:58:29,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:08:19,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:08:22,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:08:25,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:08:33,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:18:34,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:18:38,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:18:42,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:18:53,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:28:08,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:28:11,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:28:15,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
